rank,record_id,extension_id,extension_name,old_version,new_version,packet_path,blind_review,review_status
1,save-sora_2_0_196_to_2_0_355,github:alpha1337/save-sora,Save Sora: Sora Bulk Downloader,2.0.196,2.0.355,artifacts/driftbench/phase3h5/review_packets/save-sora_2_0_196_to_2_0_355.json,True,INITIAL_REVIEW_PENDING
2,katex-github-chrome-extension_0_1_0_to_0_2_0,github:aaroncql/katex-github-chrome-extension,GitHub Math Display,0.1.0,0.2.0,artifacts/driftbench/phase3h5/review_packets/katex-github-chrome-extension_0_1_0_to_0_2_0.json,True,INITIAL_REVIEW_PENDING
3,save-sora_3_0_0_to_3_0_10,github:alpha1337/save-sora,Save Sora: Sora Bulk Downloader,3.0.0,3.0.10,artifacts/driftbench/phase3h5/review_packets/save-sora_3_0_0_to_3_0_10.json,True,INITIAL_REVIEW_PENDING
4,violentmonkey_2_45_0_to_2_46_0,github:violentmonkey/violentmonkey,Violentmonkey,2.45.0,2.46.0,artifacts/driftbench/phase3h5/review_packets/violentmonkey_2_45_0_to_2_46_0.json,True,INITIAL_REVIEW_PENDING
5,save-sora_2_0_355_to_3_0_0,github:alpha1337/save-sora,Save Sora: Sora Bulk Downloader,2.0.355,3.0.0,artifacts/driftbench/phase3h5/review_packets/save-sora_2_0_355_to_3_0_0.json,True,INITIAL_REVIEW_PENDING
6,automaapp_automa_1_29_11_to_1_29_12,github:automaapp/automa,Automa,1.29.11,1.29.12,artifacts/driftbench/phase3h5/review_packets/automaapp_automa_1_29_11_to_1_29_12.json,True,INITIAL_REVIEW_PENDING
7,duckduckgo_privacy_2026_1_12_to_2026_4_28,github:duckduckgo/duckduckgo-privacy-extension,DuckDuckGo Privacy Extension,2026.1.12,2026.4.28,artifacts/driftbench/phase3h5/review_packets/duckduckgo_privacy_2026_1_12_to_2026_4_28.json,True,INITIAL_REVIEW_PENDING
8,refined_github_26_6_7_to_26_7,github:refined-github/refined-github,Refined GitHub,26.6.7,26.7,artifacts/driftbench/phase3h5/review_packets/refined_github_26_6_7_to_26_7.json,True,INITIAL_REVIEW_PENDING
9,automaapp_automa_1_29_10_to_1_29_11,github:automaapp/automa,Automa,1.29.10,1.29.11,artifacts/driftbench/phase3h5/review_packets/automaapp_automa_1_29_10_to_1_29_11.json,True,INITIAL_REVIEW_PENDING
10,automaapp_automa_1_29_8_to_1_29_9,github:automaapp/automa,Automa,1.29.8,1.29.9,artifacts/driftbench/phase3h5/review_packets/automaapp_automa_1_29_8_to_1_29_9.json,True,INITIAL_REVIEW_PENDING
11,automaapp_automa_1_29_9_to_1_29_10,github:automaapp/automa,Automa,1.29.9,1.29.10,artifacts/driftbench/phase3h5/review_packets/automaapp_automa_1_29_9_to_1_29_10.json,True,INITIAL_REVIEW_PENDING
12,bitwarden_clients_browser_v2026_6_1_to_browser_v2026_7_0,github:bitwarden/clients-browser,Bitwarden Browser,browser-v2026.6.1,browser-v2026.7.0,artifacts/driftbench/phase3h5/review_packets/bitwarden_clients_browser_v2026_6_1_to_browser_v2026_7_0.json,True,INITIAL_REVIEW_PENDING
13,browserpass_browserpass_extension_3_10_2_to_3_11_0,github:browserpass/browserpass-extension,Browserpass,3.10.2,3.11.0,artifacts/driftbench/phase3h5/review_packets/browserpass_browserpass_extension_3_10_2_to_3_11_0.json,True,INITIAL_REVIEW_PENDING
14,browserpass_browserpass_extension_3_11_0_to_3_12_0,github:browserpass/browserpass-extension,Browserpass,3.11.0,3.12.0,artifacts/driftbench/phase3h5/review_packets/browserpass_browserpass_extension_3_11_0_to_3_12_0.json,True,INITIAL_REVIEW_PENDING
15,duckduckgo_privacy_2025_11_3_to_2025_12_12,github:duckduckgo/duckduckgo-privacy-extension,DuckDuckGo Privacy Extension,2025.11.3,2025.12.12,artifacts/driftbench/phase3h5/review_packets/duckduckgo_privacy_2025_11_3_to_2025_12_12.json,True,INITIAL_REVIEW_PENDING
16,duckduckgo_privacy_2025_12_12_to_2025_12_14,github:duckduckgo/duckduckgo-privacy-extension,DuckDuckGo Privacy Extension,2025.12.12,2025.12.14,artifacts/driftbench/phase3h5/review_packets/duckduckgo_privacy_2025_12_12_to_2025_12_14.json,True,INITIAL_REVIEW_PENDING
17,duckduckgo_privacy_2025_12_14_to_2026_1_12,github:duckduckgo/duckduckgo-privacy-extension,DuckDuckGo Privacy Extension,2025.12.14,2026.1.12,artifacts/driftbench/phase3h5/review_packets/duckduckgo_privacy_2025_12_14_to_2026_1_12.json,True,INITIAL_REVIEW_PENDING
18,keepassxc_browser_1_10_1_to_1_10_2,github:keepassxreboot/keepassxc-browser,KeePassXC-Browser,1.10.1,1.10.2,artifacts/driftbench/phase3h5/review_packets/keepassxc_browser_1_10_1_to_1_10_2.json,True,INITIAL_REVIEW_PENDING
19,openstyles_stylus_2_4_6_to_2_4_7,github:openstyles/stylus,Stylus,2.4.6,2.4.7,artifacts/driftbench/phase3h5/review_packets/openstyles_stylus_2_4_6_to_2_4_7.json,True,INITIAL_REVIEW_PENDING
20,openstyles_stylus_2_4_7_to_2_4_8,github:openstyles/stylus,Stylus,2.4.7,2.4.8,artifacts/driftbench/phase3h5/review_packets/openstyles_stylus_2_4_7_to_2_4_8.json,True,INITIAL_REVIEW_PENDING
21,openstyles_stylus_2_4_8_to_2_4_9,github:openstyles/stylus,Stylus,2.4.8,2.4.9,artifacts/driftbench/phase3h5/review_packets/openstyles_stylus_2_4_8_to_2_4_9.json,True,INITIAL_REVIEW_PENDING
22,openstyles_stylus_2_4_9_to_2_4_10,github:openstyles/stylus,Stylus,2.4.9,2.4.10,artifacts/driftbench/phase3h5/review_packets/openstyles_stylus_2_4_9_to_2_4_10.json,True,INITIAL_REVIEW_PENDING
23,subtidex_1_5_0_to_1_5_1,github:yniijia/subtidex,SubtideX,1.5.0,1.5.1,artifacts/driftbench/phase3h5/review_packets/subtidex_1_5_0_to_1_5_1.json,True,INITIAL_REVIEW_PENDING
24,ublock_origin_1_72_2_to_1_73_0,github:gorhill/ublock,uBlock Origin,1.72.2,1.73.0,artifacts/driftbench/phase3h5/review_packets/ublock_origin_1_72_2_to_1_73_0.json,True,INITIAL_REVIEW_PENDING
25,web_scrobbler_web_scrobbler_3_21_0_to_3_22_0,github:web-scrobbler/web-scrobbler,Web Scrobbler,3.21.0,3.22.0,artifacts/driftbench/phase3h5/review_packets/web_scrobbler_web_scrobbler_3_21_0_to_3_22_0.json,True,INITIAL_REVIEW_PENDING
26,darkreader_darkreader_4_9_125_to_4_9_126,github:darkreader/darkreader,Dark Reader,4.9.125,4.9.126,artifacts/driftbench/phase3h5/review_packets/darkreader_darkreader_4_9_125_to_4_9_126.json,True,INITIAL_REVIEW_PENDING
27,darkreader_darkreader_4_9_128_to_4_9_129,github:darkreader/darkreader,Dark Reader,4.9.128,4.9.129,artifacts/driftbench/phase3h5/review_packets/darkreader_darkreader_4_9_128_to_4_9_129.json,True,INITIAL_REVIEW_PENDING
28,ublock_origin_1_70_0_to_1_71_0,github:gorhill/ublock,uBlock Origin,1.70.0,1.71.0,artifacts/driftbench/phase3h5/review_packets/ublock_origin_1_70_0_to_1_71_0.json,True,INITIAL_REVIEW_PENDING
29,ublock_origin_1_71_0_to_1_72_0,github:gorhill/ublock,uBlock Origin,1.71.0,1.72.0,artifacts/driftbench/phase3h5/review_packets/ublock_origin_1_71_0_to_1_72_0.json,True,INITIAL_REVIEW_PENDING
30,refined_github_26_7_to_26_7_11,github:refined-github/refined-github,Refined GitHub,26.7,26.7.11,artifacts/driftbench/phase3h5/review_packets/refined_github_26_7_to_26_7_11.json,True,INITIAL_REVIEW_PENDING
31,ruffle_rs_ruffle_nightly_2026_08_04_to_nightly_2026_08_05,github:ruffle-rs/ruffle,Ruffle Web Extension,nightly-2026-08-04,nightly-2026-08-05,artifacts/driftbench/phase3h5/review_packets/ruffle_rs_ruffle_nightly_2026_08_04_to_nightly_2026_08_05.json,True,INITIAL_REVIEW_PENDING
32,web_scrobbler_web_scrobbler_3_18_0_to_3_19_0,github:web-scrobbler/web-scrobbler,Web Scrobbler,3.18.0,3.19.0,artifacts/driftbench/phase3h5/review_packets/web_scrobbler_web_scrobbler_3_18_0_to_3_19_0.json,True,INITIAL_REVIEW_PENDING
33,web_scrobbler_web_scrobbler_3_19_0_to_3_20_0,github:web-scrobbler/web-scrobbler,Web Scrobbler,3.19.0,3.20.0,artifacts/driftbench/phase3h5/review_packets/web_scrobbler_web_scrobbler_3_19_0_to_3_20_0.json,True,INITIAL_REVIEW_PENDING
34,web_scrobbler_web_scrobbler_3_20_0_to_3_21_0,github:web-scrobbler/web-scrobbler,Web Scrobbler,3.20.0,3.21.0,artifacts/driftbench/phase3h5/review_packets/web_scrobbler_web_scrobbler_3_20_0_to_3_21_0.json,True,INITIAL_REVIEW_PENDING
35,save_tabbed_images_0_4_0_to_0_4_1,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.4.0,0.4.1,artifacts/driftbench/phase3h5/review_packets/save_tabbed_images_0_4_0_to_0_4_1.json,True,INITIAL_REVIEW_PENDING
36,save_tabbed_images_0_4_1_to_0_5_0,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.4.1,0.5.0,artifacts/driftbench/phase3h5/review_packets/save_tabbed_images_0_4_1_to_0_5_0.json,True,INITIAL_REVIEW_PENDING
37,save_tabbed_images_0_6_0_to_0_7_0,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.6.0,0.7.0,artifacts/driftbench/phase3h5/review_packets/save_tabbed_images_0_6_0_to_0_7_0.json,True,INITIAL_REVIEW_PENDING
38,darkreader_darkreader_4_9_126_to_4_9_127,github:darkreader/darkreader,Dark Reader,4.9.126,4.9.127,artifacts/driftbench/phase3h5/review_packets/darkreader_darkreader_4_9_126_to_4_9_127.json,True,INITIAL_REVIEW_PENDING
39,darkreader_darkreader_4_9_127_to_4_9_128,github:darkreader/darkreader,Dark Reader,4.9.127,4.9.128,artifacts/driftbench/phase3h5/review_packets/darkreader_darkreader_4_9_127_to_4_9_128.json,True,INITIAL_REVIEW_PENDING
40,keepassxc_browser_1_10_0_to_1_10_0_1,github:keepassxreboot/keepassxc-browser,KeePassXC-Browser,1.10.0,1.10.0.1,artifacts/driftbench/phase3h5/review_packets/keepassxc_browser_1_10_0_to_1_10_0_1.json,True,INITIAL_REVIEW_PENDING
41,keepassxc_browser_1_9_11_to_1_10_0,github:keepassxreboot/keepassxc-browser,KeePassXC-Browser,1.9.11,1.10.0,artifacts/driftbench/phase3h5/review_packets/keepassxc_browser_1_9_11_to_1_10_0.json,True,INITIAL_REVIEW_PENDING
42,screenity_4_5_0_to_4_5_1,github:alyssaxuu/screenity,Screenity,4.5.0,4.5.1,artifacts/driftbench/phase3h5/review_packets/screenity_4_5_0_to_4_5_1.json,True,INITIAL_REVIEW_PENDING
43,sponsorblock_6_1_3_to_6_1_4,github:ajayyy/sponsorblock,SponsorBlock,6.1.3,6.1.4,artifacts/driftbench/phase3h5/review_packets/sponsorblock_6_1_3_to_6_1_4.json,True,INITIAL_REVIEW_PENDING
44,browserpass_browserpass_extension_3_10_0_to_3_10_1,github:browserpass/browserpass-extension,Browserpass,3.10.0,3.10.1,artifacts/driftbench/phase3h5/review_packets/browserpass_browserpass_extension_3_10_0_to_3_10_1.json,True,INITIAL_REVIEW_PENDING
45,refined_github_26_6_1_to_26_6_7,github:refined-github/refined-github,Refined GitHub,26.6.1,26.6.7,artifacts/driftbench/phase3h5/review_packets/refined_github_26_6_1_to_26_6_7.json,True,INITIAL_REVIEW_PENDING
46,violentmonkey_2_43_0_to_2_44_0,github:violentmonkey/violentmonkey,Violentmonkey,2.43.0,2.44.0,artifacts/driftbench/phase3h5/review_packets/violentmonkey_2_43_0_to_2_44_0.json,True,INITIAL_REVIEW_PENDING
47,violentmonkey_2_44_0_to_2_45_0,github:violentmonkey/violentmonkey,Violentmonkey,2.44.0,2.45.0,artifacts/driftbench/phase3h5/review_packets/violentmonkey_2_44_0_to_2_45_0.json,True,INITIAL_REVIEW_PENDING
