record_id,provenance_id,extension_id,extension_name,old_version,new_version,old_timestamp,new_timestamp,label,label_source,label_review_status,label_quality_tier,eligible_for_supervised_training,source,source_type,is_controlled,controlled_mutation_type,functional_category,split,added_permission_count,removed_permission_count,added_sensitive_permission_count,removed_sensitive_permission_count,permission_risk_delta,critical_permission_added,high_permission_added,optional_permission_change_count,host_count_delta,added_host_count,host_scope_score_delta,wildcard_host_introduced,all_urls_introduced,content_script_changed,service_worker_introduced,externally_connectable_changed,web_accessible_resource_change_count,csp_changed
katex-github-chrome-extension_0_1_0_to_0_2_0,open_source_repository:katex-github-chrome-extension_0_1_0_to_0_2_0,github:aaroncql/katex-github-chrome-extension,GitHub Math Display,0.1.0,0.2.0,2020-07-28T11:27:51Z,2020-07-30T07:28:06Z,risky_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/AaronCQL/katex-github-chrome-extension,open_source_repository,False,,math_rendering,test,1,0,0,0,10,0,0,0,1,1,90,1,0,1,1,0,1,0
subtidex_1_5_0_to_1_5_1,open_source_repository:subtidex_1_5_0_to_1_5_1,github:yniijia/subtidex,SubtideX,1.5.0,1.5.1,2026-05-23T18:06:57Z,2026-05-28T06:44:00Z,benign_transition,repository_documented_change,reviewed,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/yniijia/SubtideX,open_source_repository,False,,video_captioning,test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
save_tabbed_images_0_4_0_to_0_4_1,open_source_repository:save_tabbed_images_0_4_0_to_0_4_1,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.4.0,0.4.1,2015-12-07T03:55:38Z,2016-04-22T04:38:22Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/kevinsqi/save_tabbed_images,open_source_repository,False,,image_download,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
save_tabbed_images_0_4_1_to_0_5_0,open_source_repository:save_tabbed_images_0_4_1_to_0_5_0,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.4.1,0.5.0,2016-04-22T04:38:22Z,2016-04-25T00:19:08Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/kevinsqi/save_tabbed_images,open_source_repository,False,,image_download,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
save_tabbed_images_0_5_0_to_0_6_0,open_source_repository:save_tabbed_images_0_5_0_to_0_6_0,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.5.0,0.6.0,2016-04-25T00:19:08Z,2016-11-08T01:51:31Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/kevinsqi/save_tabbed_images,open_source_repository,False,,image_download,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
save_tabbed_images_0_6_0_to_0_7_0,open_source_repository:save_tabbed_images_0_6_0_to_0_7_0,github:kevinsqi/save_tabbed_images,Save Tabbed Images,0.6.0,0.7.0,2016-11-08T01:51:31Z,2019-07-20T21:03:15Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/kevinsqi/save_tabbed_images,open_source_repository,False,,image_download,train,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
save-sora_2_0_196_to_2_0_355,open_source_repository:save-sora_2_0_196_to_2_0_355,github:alpha1337/save-sora,Save Sora: Sora Bulk Downloader,2.0.196,2.0.355,2026-04-16T01:26:19Z,2026-04-24T03:27:26Z,risky_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/alpha1337/save-sora,open_source_repository,False,,video_download,validation,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
save-sora_2_0_355_to_3_0_0,open_source_repository:save-sora_2_0_355_to_3_0_0,github:alpha1337/save-sora,Save Sora: Sora Bulk Downloader,2.0.355,3.0.0,2026-04-24T03:27:26Z,2026-04-24T03:30:29Z,uncertain,single_reviewer_provisional,provisional,UNCERTAIN,False,https://github.com/alpha1337/save-sora,open_source_repository,False,,video_download,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
save-sora_3_0_0_to_3_0_10,open_source_repository:save-sora_3_0_0_to_3_0_10,github:alpha1337/save-sora,Save Sora: Sora Bulk Downloader,3.0.0,3.0.10,2026-04-24T03:30:29Z,2026-04-24T04:30:35Z,uncertain,single_reviewer_provisional,provisional,UNCERTAIN,False,https://github.com/alpha1337/save-sora,open_source_repository,False,,video_download,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
screenity_4_5_0_to_4_5_1,open_source_repository:screenity_4_5_0_to_4_5_1,github:alyssaxuu/screenity,Screenity,4.5.0,4.5.1,2026-06-09T14:31:57Z,2026-06-09T22:10:27Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/alyssaxuu/screenity,open_source_repository,False,,screen_recording,validation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ublock_origin_1_70_0_to_1_71_0,open_source_repository:ublock_origin_1_70_0_to_1_71_0,github:gorhill/ublock,uBlock Origin,1.70.0,1.71.0,2026-03-11T00:48:44Z,2026-05-11T16:41:12Z,benign_transition,single_reviewer_provisional,provisional,SINGLE_REVIEWER_PROVISIONAL,True,https://github.com/gorhill/uBlock,open_source_repository,False,,content_blocking,test,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
