"ReviewID","RecordID","ExistingLabel","SecondaryLabel","Confidence","Agreement"
"RB-001","save-sora_2_0_196_to_2_0_355","RISKY_TRANSITION","RISKY_TRANSITION","MEDIUM","AGREE"
"RB-002","violentmonkey_2_45_0_to_2_46_0","RISKY_TRANSITION","RISKY_TRANSITION","MEDIUM","AGREE"
"RB-003","automaapp_automa_1_29_11_to_1_29_12","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","DISAGREE"
"RB-004","duckduckgo_privacy_2026_1_12_to_2026_4_28","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","DISAGREE"
"RB-005","refined_github_26_6_7_to_26_7","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","DISAGREE"
"RB-006","bitwarden_clients_browser_v2026_6_1_to_browser_v2026_7_0","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","DISAGREE"
"RB-007","browserpass_browserpass_extension_3_10_2_to_3_11_0","BENIGN_TRANSITION","RISKY_TRANSITION","LOW","DISAGREE"
"RB-008","keepassxc_browser_1_10_1_to_1_10_2","BENIGN_TRANSITION","UNCERTAIN","LOW","DISAGREE"
"RB-009","openstyles_stylus_2_4_6_to_2_4_7","BENIGN_TRANSITION","RISKY_TRANSITION","LOW","DISAGREE"
"RB-010","subtidex_1_5_0_to_1_5_1","BENIGN_TRANSITION","RISKY_TRANSITION","LOW","DISAGREE"
"RB-011","ublock_origin_1_72_2_to_1_73_0","BENIGN_TRANSITION","RISKY_TRANSITION","LOW","DISAGREE"
"RB-012","web_scrobbler_web_scrobbler_3_21_0_to_3_22_0","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","DISAGREE"
"RB-013","darkreader_darkreader_4_9_125_to_4_9_126","BENIGN_TRANSITION","RISKY_TRANSITION","LOW","DISAGREE"
"RB-014","save_tabbed_images_0_4_0_to_0_4_1","BENIGN_TRANSITION","RISKY_TRANSITION","MEDIUM","DISAGREE"
"RB-015","clearurls_addon_1_20_0_to_1_21_0","BENIGN_TRANSITION","UNCERTAIN","LOW","DISAGREE"
